위치,업소명,리뷰
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,"혼자 먹으러 갔는데 친절히 안내해주시고
키오스크 주문이더라구요 ㅋㅋ 설렁탕 먹었는데
체인점이라 별 기대안했다가 국물이 구수해서 2그릇먹었어요 국물도 안남기고 깍두기까지 쓱쓱 ~_~
위치는 바로 찾기 쉬웠어용 ! 번창하세영ㅋㅋ 접기"
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,체인점이라 기대 안했는데 맛있습니다
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,"도가니탕 21000원인데 할인해서 19000..
도가니가 막 그런 푹 우린 깊고 쫄깃한 맛이 아님
그냥 괜찮은.. 하지만 가격 생각하면 별로임"
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,얼큰수육전골 맛있습니다.
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,"손님 없을땐 좀 썰렁해서 괜히음식맛이 안사는데
맛 편차가없음
대기업의 맛이 느껴짐
김치맛남 접기"
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,휴일 아침 일찍 오픈해서 좋은데 맛으 보콩이에요.
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,"사장님.
쿠폰 사용방법을 모르시면 공부를 하세요. 
2천원 때먹고 나몰라라 하지말고.

선물 받은 2만원짜리 쿠폰으로
기분 좋게 식사하려는데,
만8천원짜리 음식 팔고
2천원은 슥삭하시니 조만간 큰 돈 버시겠습니다

남은 2천원은 다른 지점에서 사용가능하다고 설명해놓고 내가 여기서 음료 하나 사가겠다고 하니 바로 말 바꿔서 말 흐리면 난 어쩝니까 ㅎㅎ
더군다나 다시 확인하니 쿠폰은 전액사용으로 처리되서 차액 2천원은 사용불가능한 상태였지요?

자기들도 쿠폰금액이랑 판매메뉴 가격이 안 맞아서 차액 2천원은 정산때 현금차감 처리한다는 소리를 내가 들리는 곳에서 하는데
내가 음식 구걸하러 간 사람도 아니고 
참 여러가지고 불쾌한 감정이 일어났으나
그냥 손털고 나왔습니다.

전 재방문할 생각이 없네요.
흔해빠진 식당이 건대에 한두곳입니까
다른 손님께는 좀 더 잘해보세요.
 접기"
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,주차 30분만 가능 이후는 주차요금 발생
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,"건대에서 해장할때나 한식생각나면 방문하는곳 
시간대마다 일하시는 아줌마분들이 달라 친절도가 ㅋㅋ
시간대에 따라 다르지만..;; 
갈때마다 맛있게 먹는곳 접기"
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,"그냥 그 근처에 혼밥하기 마땅한 곳이 안보여서 들어갔습니다 ㅠㅠ
큼.. 재료가 좀 부실 한 것 같아요 김치는 괜찮았어요"
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,음식 시켰는데 사진만큼 안나오는건 충분히 이해하더라도 재료 자체가 빠진걸 서빙하는건 대놓고 호구삼겠다는거 아님? 지적하니까 그깟 버섯 안들어갔다고 되받아치는 사장 마인드만 봐도 주방이 어떨지 눈에 훤함. 그리고 사장이 홀에서 마스크도 안 쓰고다님. 도가니탕  접기
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,"그냥 설렁탕먹을걸 괜히 얼큰설렁탕 먹어서는...
무난하긴 한데 특별히 양념맛이 더 느껴진다거나 칼칼하다던가 그렇지는 않아요 뭔가 아주 얼큰한 맛을 기대하면 저처럼 실망합니다 그냥 먹지 마세요~"
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,설렁탕 도가니탕
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,맛있어요
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,엄청 빨리 나오고 맛있어서 좋아요. 혼밥하기에도 좋은 것 같아요~
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,진하면서도 담백한 국물이 맛있는 곳!! 아침일찍 열어서 더 좋다
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,친절하세요
서울 광진구 아차산로 241,한촌설렁탕 건대입구역점,너무 맛잇음
서울 광진구 아차산로42길 41-4 1층,민정식당,"오랜시간 터줏대감 느낌의 식당
모든 메뉴가 진국 그리고 김치는 집에 데려가고싶네요"
서울 광진구 아차산로42길 41-4 1층,민정식당,"외진곳에 있지만 가격은 강남한복판 가격이에요
맛은 괜찮아요"
서울 광진구 아차산로42길 41-4 1층,민정식당,허영만 선생님은 배신 안해
서울 광진구 아차산로42길 41-4 1층,민정식당,가격이 좀 오르긴했는데 시원한 설렁탕 맛집
서울 광진구 아차산로42길 41-4 1층,민정식당,외지고 빈해요
서울 광진구 아차산로42길 41-4 1층,민정식당,설렁탕 가격 12000원 내용물 부실
서울 광진구 아차산로42길 41-4 1층,민정식당,"옜날 민정 생각하면 오산..
혼자가면 망신당할 확율이 높아졌어....."
서울 광진구 아차산로42길 41-4 1층,민정식당,이게 만원입니다.. 만원에 만두 세개들어있는 국이네요 너무 한것같에요..
서울 광진구 아차산로42길 41-4 1층,민정식당,맛납니다.
서울 광진구 아차산로42길 41-4 1층,민정식당,수육국물이 조미료 들어간 쇠고기 다시다 맛.
서울 광진구 아차산로42길 41-4 1층,민정식당,소모듬수육이.국내산 이라는거야? 호주산 이라는 거야?
서울 광진구 아차산로42길 41-4 1층,민정식당,사장님 너무 친절하시고 도가니 수육 국물 너무 맛있어요 꼭 부추랑 소면사리 추가해서 드세요
서울 광진구 아차산로42길 41-4 1층,민정식당,"전에 맛있게해서 가족들과 왔는데 완전 개판이라  말이 안나오네요.
수육을 시켰는데 고기질도 저질이고 생푸른대파를 넣어서 맛자체가 엉망이었다.
8시10분부터  9시에 종료하니  빨리 나가라고 해서  먹다가 기분잡쳐서  그냥나왔어요.
다시는 안갈거고 다른 사람들에게도 가지마라고 할겁니다. 아휴 재수 없어~~^^ 접기"
서울 광진구 아차산로42길 41-4 1층,민정식당,기대이하
서울 광진구 아차산로42길 41-4 1층,민정식당,"아내와 수육먹었어요.
다 드신후 사리도 꼭 추가해드시길.
진짜 가정에서 만든 보양음식 같은 느낌입니다.
주변 사시는분들이 단골이시라면 다른말 필요없죠.
그냥 나주곰탕 수십년헉은 나주에서 오래살다온 제 얘기 믿으시면 되요 ㅎㅎ
수육 끝내줍니다.
집은 멀지만 꼭 다시올거예요 접기"
서울 광진구 아차산로42길 41-4 1층,민정식당,진심으로 훌륭
서울 광진구 아차산로42길 41-4 1층,민정식당,수육 수제돈까스
서울 광진구 아차산로42길 41-4 1층,민정식당,"설렁탕 국물 진하고 맛있어요!
온누리는 안됐었던 것 같아요."
서울 광진구 아차산로42길 41-4 1층,민정식당,"친절하세요
국물 진하고 맛있는데 냄새가 살짝남 ㅠ
도가니탕은 쫀득함이 없어서 아쉽고 곰국이 더좋았어요"
서울 광진구 아차산로42길 41-4 1층,민정식당,최소 3명이상 팟을 만들어 방문하시기를 추천드립니다. 모든 테이블이 수육전골에 소면사리 드십니다 ㅋㅋㅋㅋ 다음엔.. 한명 더 데려가서 누룽지 사리까지 꼭 먹어보고싶어요. 아참 돈가스도 맛있어서 시켜야합니다.
서울 광진구 뚝섬로 688 1층,진국,내부 깔끔하고요. 맛도 깔끔하고요. 가격도 요즘 물가 생각하면 저렴합니다.
