URL,리뷰내용,업소명
https://m.place.naver.com/restaurant/1641094636/review/visitor,음식맛이 좋아요,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,고기맛도 좋고 가성비 좋아요,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,고기랑 반찬은 정갈하고 맛있는데 사장님이 썩 친절하시지 않아 조금 불쾌 했어요 ...,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,"인삼왕갈비 맛있게 먹었습니다~
된장찌개 맛이 👍👍👍",59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,"음식이 다 정갈하고 깔끔하고 맛나요!!!
친절하고 예쁜 사장님도 넘 좋아요🫶
갈비맛집인데 소갈비도 맛나용ㅎㅎ",59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,"아이구 먹느라 사진을 못찍었는데 양도 많고 가격도 요즘 시대 물가에 비해 나쁘지 않은 것 같아요 ㅎㅎ 다른 곳 가려다 그냥 가까운데 가자해서 갔는데 고기도 맛있었고 냉면도 맛났어요 그리고 일하시는
키크신 훈남 남자 직원분 너무 친절하시고 혼자 바쁘신데도 짜증나는 티도 안나시고 끝까지 친절하셔서 너무 감사했습니다 ^^",59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,돼지왕갈비는 먹을만해요. 소갈비살은 솔직히 별루였어요. 돼지갈비 가성비 괜찮아요,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,굿,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,쏘쏘,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,왕갈비맛있어용,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,돼지갈비 맛있어요,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,왕갈비 맛있네요!! 친절하시고 깔끔해요,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,굳,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,.,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,사장님이 친절하셔요,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,마이크좋아요,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,"사장님곱창 잘먹고 갑니다
정말 맛있게 먹었어요",59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,맛있고 친절해요,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,반찬도 맛있고 고기도 맛있고 잘먹었습니다,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,여기 진짜 맛집이에요 사장님 손맛이 어마어마해요 밑반찬부터 너무 맛있어요,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,인생맛집!,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,맛집이에요,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,ㄴㄴ,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,맛있었어요!,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,ㅎㅇ같음,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,쫀맛탱구리,59년왕십리성수점
https://m.place.naver.com/restaurant/1641094636/review/visitor,쫀맛탱구리~><,59년왕십리성수점
https://m.place.naver.com/restaurant/18003461/review/visitor,"어린이대공원갔다가 너무 더워서 생맥주가 간절해서 열려있는 술집 찾다가 발견해서 가봤어요! 알고보니 건대 사는 사람들은 다 아는 곳이더라구요 ! 생선까스 + 계란말이 시켰는데 맛있게 잘 먹었습니다 :)
다음에는 돈까스나 스파게티 먹어보고싶어요 ㅎ.ㅎ
맥주 시원해서 너무 행복했어요 ㅠㅠ💓
분위기도 레트로하고 만족했어용",겨울나그네
https://m.place.naver.com/restaurant/18003461/review/visitor,"요즘 고물가 시대에 소주와 맥주 값만 보고 방문했습니다. 치즈돈까스가 메인인 거 같아 주문했는데 학교 앞에 팔던 피카츄 돈까스가 훨씬 고급스러울 정도로 실망했습니다. 하지만 오뎅탕은 괜찮았습니다. 그것만..
불고기 덮밥도 시켰는데 고기는 냉동실에서 1년은 묶은 맛이 나고 눈 감고 먹으면 고기가 아닐 거라고 생각할 정도로 상태가 좋지는 않았습니다. 겨울철 막차 놓쳐서 갈 곳이 없다면 여기로 들어갈 거 같지만 그게 아니라면 재방문 의사 없습니다.",겨울나그네
https://m.place.naver.com/restaurant/18003461/review/visitor,맛있습니다,겨울나그네
