,가게명,착한가격업소,내용,가격,수동기준메뉴,가격점수,위생리뷰개수,위생점수,서비스리뷰개수,서비스점수,착한가격점수(점),소비자체감_착한가격점수(점)
0,노을집,0.0,소고기무침,18000,쇠고기(외식),0.94395731,1.0,0.6353977698609087,2.0,0.6522456558223015,78.96775399304543,75.1809388975075
1,늘봄참숯갈비,0.0,소등심 200g,19000,쇠고기(외식),0.942251393,,1.0,,1.0,97.11256965,97.9325998694
2,육즈비나르샤,0.0,육즙소등심(180g),20000,쇠고기(외식),0.940446911,0.0,1.0,0.0,1.0,97.02234555,97.86799941379999
3,용문집,0.0,치마살150g,21000,쇠고기(외식),0.938534847,4.0,0.4155998624572606,3.0,0.4410106205575406,67.70673547286303,61.17805845329601
4,용문집,0.0,제비추리150g,21000,쇠고기(외식),0.938534847,4.0,0.4155998624572606,3.0,0.4410106205575406,67.70673547286303,61.17805845329601
5,미가육,0.0,미가숙성소부채살(180g),22000,쇠고기(외식),0.936505008,1.0,0.5361168683201417,1.0,0.5383231105766032,73.63109381600708,68.02346258420619
6,까사 더프타운,0.0,부채살스테이크,22000,쇠고기(외식),0.936505008,0.0,1.0,,1.0,96.8252504,97.7268792864
7,숙고,0.0,양념 살치살,23000,쇠고기(외식),0.934345825,1.0,0.6530477079126007,1.0,0.4765483273956815,79.36967664563004,69.14481525074171
8,광장수제갈비,0.0,한우 채끝등심1++ 100그램,25000,쇠고기(외식),0.929584729,0.0,1.0,,1.0,96.47923645,97.4791332982
9,더후라이팬 건대점,0.0,안심후라이드+선택1,27300,쇠고기(외식),0.923230077,0.0,1.0,,1.0,96.16150385,97.2516367566
10,시옌,0.0,청경채와 야채소고기볶음(Small),29700,쇠고기(외식),0.915305896,2.0,0.570471573599804,2.0,0.5568425598960545,74.2888734799902,68.91112191816505
11,지즐미육회관 구의점,0.0,한우 투뿔 1++ 제비추리,30000,쇠고기(외식),0.914201949,,1.0,0.0,1.0,95.71009744999999,96.9284297742
12,지즐미육회관 구의점,0.0,한우 투뿔 1++ 등심,30000,쇠고기(외식),0.914201949,,1.0,0.0,1.0,95.71009744999999,96.9284297742
13,고고기,0.0,한우등심,32000,쇠고기(외식),0.906048976,0.0,1.0,0.0,1.0,95.30244880000001,96.63655334079999
14,라 파밀리아,0.0,안심파스타,32000,쇠고기(외식),0.906048976,0.0,1.0,,1.0,95.30244880000001,96.63655334079999
