,가게명,수동기준메뉴,평균 가격점수,평균 위생점수,평균 서비스점수,평균 착한가격점수(점),평균 소비자체감_착한가격점수(점),착한가격업소
0,101호술집,"쇠고기(외식),피자",0.69231114,1.0,1.0,85,89,0.0
1,101호주인,치킨,0.62716244,1.0,0.2657495375450491,81,61,0.0
2,153콩나물국밥,설렁탕,0.760603969,0.78542224330029,0.78542224330029,77,78,0.0
3,1970추억의 수제 돈까스,치킨,0.63239851025,1.0,1.0,82,87,0.0
4,502찌개마을&옛날삼겹살 건대직영점,삼겹살,0.91277421775,1.0,1.0,96,97,0.0
5,59년왕십리성수점,쇠고기(외식),0.948559598,1.0,1.0,97,98,1.0
6,9공탄,삼겹살,0.513125567,1.0,0.6530477079126007,76,70,0.0
7,cafe 462,커피,0.834943603,1.0,1.0,92,94,0.0
8,가네초밥,생선초밥,0.824487648,1.0,0.7280599446322913,91,84,0.0
9,가람성중화요리,"갈비탕,탕수육",0.8615765445000001,1.0,0.6398102543738317,93,82,0.0
10,가마로,"냉면,삼겹살,설렁탕",0.7146036526999999,0.3000839739218612,0.5315315344462338,51,53,0.0
11,가마솥도가니탕장수옥,"냉면,설렁탕",0.6917056726666666,0.5647980176541412,0.5647980176541412,63,61,0.0
12,가마솥영양탕,삼계탕,0.418122028,1.0,1.0,71,79,0.0
13,가현스시,"냉면,생선초밥",0.8358624561666667,1.0,1.0,92,94,0.0
14,감동국밥,설렁탕,0.7914041754285714,0.5383231105766032,1.0,66,79,0.0
15,강남찌개,"김치찌개백반,불고기",0.881913806,0.5647980176541412,1.0,72,83,0.0
16,강쇠네,"김치찌개백반,된장찌개백반",0.8264286780000001,0.3866632955668039,0.4307012813756758,61,56,0.0
17,개미집투,김치찌개백반,0.319340966,1.0,1.0,66,76,0.0
18,거보주회관,"불고기,쇠고기(외식)",0.81374428,0.5383231105766032,0.5140544457555268,68,63,0.0
19,거북이삼겹살,삼겹살,0.513125567,0.6353977698609087,1.0,57,72,0.0
20,건대냉면만두국밥,"냉면,불고기,설렁탕",0.8109130265714286,1.0,1.0,91,93,0.0
21,건대멸치국수,냉면,0.7600360222,0.5515605641153721,0.7412973981710602,66,69,0.0
22,건대우동집,"냉면,돈가스,비빔밥,자장면",0.7143050051428571,0.40144607138924265,1.0,56,72,0.0
23,건륭,탕수육,0.764699046,1.0,1.0,88,92,0.0
24,겨울나그네,돈가스,0.918984736,1.0,1.0,96,97,1.0
25,계경순대국 광진구청점,"갈비탕,설렁탕",0.8006167915,0.5471480796024492,0.5647980176541412,67,64,0.0
26,고고기,"삼겹살,쇠고기(외식)",0.6441000366666666,1.0,1.0,82,87,0.0
27,고고핫도그 닭강정,치킨,0.833064849,1.0,1.0,92,94,0.0
28,고기검객,삼겹살,0.6808864985,1.0,1.0,84,89,0.0
29,고기반햄반김치찌개&김치찜 아차산본점,불고기,0.9325583246000001,1.0,1.0,97,98,0.0
30,고기처럼,삼겹살,0.7392700996666667,1.0,1.0,87,91,0.0
31,고담,"김치찌개백반,냉면,불고기,삼겹살",0.89616297775,1.0,1.0,95,96,0.0
32,고오기,"김치찌개백반,삼겹살,쇠고기(외식)",0.6278075515,1.0,1.0,81,87,0.0
33,고은별,커피,0.834943603,1.0,1.0,92,94,1.0
34,고향순대국,"갈비탕,설렁탕",0.764021664,0.5607365638114115,0.6398102543738317,66,66,0.0
35,곤지암할매소머리국밥 화양점,"갈비탕,불고기,설렁탕",0.8189735993333334,1.0,1.0,91,94,0.0
36,골든피자,피자,0.8679801465714286,1.0,1.0,93,95,0.0
37,곰곰탕,"불고기,설렁탕",0.8382610605,1.0,1.0,92,94,1.0
38,곱돌이와삼순이,"불고기,삼겹살",0.8436621495,1.0,1.0,92,94,0.0
39,광나루한우정육식당,"불고기,설렁탕",0.820893874,1.0,1.0,91,94,0.0
40,광수육회 본점,설렁탕,0.821758618,0.5647980176541412,1.0,69,81,0.0
41,광장수제갈비,쇠고기(외식),0.929584729,1.0,1.0,96,97,0.0
42,구름초밥,"생선초밥,치킨",0.8945901773333333,1.0,1.0,95,96,1.0
43,구스치킨,치킨,0.804778391,1.0,1.0,90,93,0.0
44,구영탄초밥,생선초밥,0.8622795674999999,1.0,0.772184789761521,93,87,0.0
45,구의김밥,"김밥,김치찌개백반,냉면,설렁탕,조리라면",0.7884602595,1.0,1.0,89,92,0.0
46,구의역숯불집,"냉면,된장찌개백반,불고기",0.8244494585,0.5315315344462338,1.0,68,80,0.0
47,국밥 참 맛있는 집 서울중곡점,"불고기,삼겹살,삼계탕,설렁탕",0.612000650375,1.0,1.0,81,86,0.0
48,군자교,"자장면,짬뽕",0.8859882866666666,0.7412973981710603,0.6288816323301594,81,75,0.0
49,군자돈까스,돈가스,0.6546327195,0.5541269810252214,0.4943224876657963,60,57,0.0
50,굴다리 전주 콩나물국밥,설렁탕,0.836798262,1.0,0.5647980176541412,92,79,0.0
51,굴림샤브&콩국수,"불고기,설렁탕",0.807425345,1.0,1.0,90,93,0.0
52,금강숯불생고기,"냉면,삼겹살,쇠고기(외식)",0.8548007606666667,1.0,1.0,93,95,1.0
53,금문,탕수육,0.8843017839999999,0.486750489419628,1.0,69,81,0.0
54,금비,탕수육,0.8331099935,0.5647980176541412,0.2792975531846007,70,56,0.0
55,금용각,"갈비탕,탕수육",0.7834475306666667,0.4765483273956815,0.5383231105766032,63,61,0.0
56,금쪽삼겹,삼겹살,0.917922542,1.0,1.0,96,97,1.0
57,기름칠,삼겹살,0.754278319,1.0,0.5647980176541412,88,76,0.0
58,김밥타운 노유점,"김치찌개백반,된장찌개백반,설렁탕",0.8910974206000001,1.0,1.0,95,96,0.0
59,김파삼95,삼겹살,0.771241463,1.0,0.5315315344462338,89,75,0.0
60,까사 더프타운,쇠고기(외식),0.936505008,1.0,1.0,97,98,0.0
61,깍뚝,"돼지갈비,삼겹살",0.674414053,1.0,1.0,84,88,0.0
62,꼴목,돼지갈비,0.568928646,1.0,1.0,78,85,0.0
63,꼴목냉삼,삼겹살,0.875651897,1.0,0.5206731725249113,94,79,0.0
