,Column1,가게명,착한가격업소,내용,가격,수동기준메뉴,기준가격,가격점수,위생리뷰개수,위생점수,서비스리뷰개수,서비스점수,착한가격점수(점),소비자체감_착한가격점수(점)
0,892.0,클립맨즈헤어(clip mens hair),0.0,일반펌,10000,미용료(파마),48898.0,0.955269454,,1.0,,1.0,97.7634727,98.3986464532
1,1.0,명신미용실,0.0,"일반펌
미용료 파마",15000,미용료(파마),48898.0,0.94932956,,1.0,,1.0,97.466478,98.18599824799999
2,955.0,센스앤영 헤어 건대점,0.0,"일반펌
앞머리펌(일반)",15000,미용료(파마),48898.0,0.94932956,0.0,1.0,,1.0,97.466478,98.18599824799999
3,65.0,헤어포인트,1.0,"일반펌
미용료(파마)",20000,미용료(파마),48898.0,0.94178097,,1.0,,1.0,97.08904849999999,97.915758726
4,106.0,파마세상,0.0,"일반펌
파마",15000,미용료(파마),48898.0,0.94932956,,1.0,,1.0,97.466478,98.18599824799999
5,627.0,이훈올(ALL)30000미용실 중곡역점,0.0,"일반펌
앞머리펌",17000,미용료(파마),48898.0,0.946537539,,1.0,,1.0,97.32687695,98.0860438962
6,64.0,헤어포인트,1.0,"컷
미용료(커트)",5000,미용료(커트),16173.0,0.949173357,,1.0,,1.0,97.45866785,98.1804061806
7,518.0,디보쉬헤어,0.0,"일반펌
다운펌",20000,미용료(파마),48898.0,0.94178097,,1.0,,1.0,97.08904849999999,97.915758726
8,766.0,비하이드,0.0,"일반펌
다운펌",20000,미용료(파마),48898.0,0.94178097,0.0,1.0,,1.0,97.08904849999999,97.915758726
9,1136.0,에비뉴헤어,0.0,"일반펌
남성 다운펌",20000,미용료(파마),48898.0,0.94178097,0.0,1.0,,1.0,97.08904849999999,97.915758726
10,27.0,이브미용실,0.0,"일반펌
미용료(파마)",20000,미용료(파마),48898.0,0.94178097,,1.0,,1.0,97.08904849999999,97.915758726
11,,헤어아이디,1.0,"미용료
(파마)",35000,미용료(파마),,0.897712946,,1.0,,1.0,94.8856473,96.3381234668
12,,한일세탁,1.0,의복수선료,3000,의복수선료,,0.926365815,,1.0,,1.0,96.31829075,97.363896177
13,,한양세탁소,1.0,세탁료(양복1벌),8000,양복세탁료,,0.807712397,,1.0,,1.0,90.38561985,93.11610381259999
14,1048.0,참빛헤어,0.0,"일반펌
일반펌",20000,미용료(파마),48898.0,0.94178097,,1.0,,1.0,97.08904849999999,97.915758726
15,272.0,파랑노랑 미용실,1.0,"일반펌
파마",20000,미용료(파마),48898.0,0.94178097,,1.0,,1.0,97.08904849999999,97.915758726
16,1032.0,플랜에이치헤어 자양역점,0.0,"일반펌
다운펌",20000,미용료(파마),48898.0,0.94178097,,1.0,,1.0,97.08904849999999,97.915758726
17,23.0,한미란헤어,0.0,"일반펌
앞머리 펌",20000,미용료(파마),48898.0,0.94178097,0.0,1.0,,1.0,97.08904849999999,97.915758726
18,136.0,헤어샵(#),0.0,"일반펌
미용료 파마",20000,미용료(파마),48898.0,0.94178097,,1.0,,1.0,97.08904849999999,97.915758726
19,271.0,파랑노랑 미용실,1.0,"컷
커트",8000,미용료(커트),16173.0,0.933670769,,1.0,,1.0,96.68353845,97.6254135302
20,125.0,U 린 헤어,0.0,"기타
다운펌",20000,미용료(파마),48898.0,0.94178097,,1.0,,1.0,97.08904849999999,97.915758726
