,가게명,수동기준메뉴,평균 가격점수,평균 위생점수,평균 서비스점수,평균 착한가격점수(점),평균 소비자체감_착한가격점수(점),착한가격업소
0,H 헤어커커,미용료(파마),0.786701574,1.0,1.0,89,92,0.0
1,Lee헤어샵,"미용료(커트),미용료(파마)",0.8201926325,1.0,1.0,91,94,0.0
2,S헤어,미용료(커트),0.567072286,1.0,1.0,78,85,0.0
3,U 린 헤어,"미용료(커트),미용료(파마)",0.85941984,1.0,1.0,93,95,0.0
4,Y-헤어,"미용료(커트),이용료(커트)",0.8491100195,1.0,1.0,92,95,0.0
5,가연미용실,미용료(커트),0.890725257,1.0,1.0,95,96,1.0
6,갤러리헤어,"미용료(커트),미용료(파마)",0.9332068446666666,1.0,1.0,97,98,1.0
7,건강대중탕,목욕료,0.743359835,0.498432501,0.58686044,62,62,0.0
8,고고헤어,미용료(파마),0.863326555,1.0,1.0,93,95,0.0
9,구아르헤어(Guare hair),미용료(커트),0.949173357,1.0,1.0,97,98,0.0
10,궁전헤어클럽,미용료(커트),0.77705871,1.0,1.0,89,92,0.0
11,귀빈헤어뉴스,"미용료(커트),미용료(파마)",0.8281057045,1.0,1.0,91,94,0.0
12,그린세탁,의복수선료,0.890725257,1.0,1.0,95,96,1.0
13,김명옥헤어스케치,미용료(커트),0.91734553,1.0,1.0,96,97,0.0
14,김미라헤어,미용료(커트),0.905880976,1.0,1.0,95,97,1.0
15,김송정머리터,미용료(커트),0.77705871,1.0,1.0,89,92,0.0
16,남성헤어샵베테랑,미용료(커트),0.905880976,1.0,1.0,95,97,0.0
17,노이벨라(noibella),미용료(커트),0.77705871,1.0,1.0,89,92,0.0
18,뉴(New)스타일맨,미용료(커트),0.869509835,1.0,1.0,93,95,0.0
19,"다시,스물",미용료(커트),0.949173357,1.0,1.0,97,98,0.0
20,더 펌(Perm) 헤어,미용료(커트),0.77705871,1.0,1.0,89,92,0.0
21,더:이쁨,미용료(커트),0.949173357,1.0,1.0,97,98,0.0
22,더디얼스 롯데백화점 건대스타시티점,"미용료(커트),미용료(파마)",0.9125238689999999,1.0,1.0,96,97,0.0
23,데이진 헤어,미용료(커트),0.949173357,1.0,1.0,97,98,0.0
24,도아살롱,"미용료(커트),미용료(파마)",0.9057589766666666,1.0,1.0,95,97,0.0
25,동동미장원,미용료(커트),0.77705871,1.0,1.0,89,92,0.0
26,동현세탁,양복세탁료,0.87541309,1.0,1.0,94,96,1.0
27,디보쉬헤어,미용료(파마),0.94178097,1.0,1.0,97,98,0.0
28,디자인 헤어,"미용료(커트),미용료(파마)",0.9006782755,1.0,1.0,95,96,0.0
29,디탐,미용료(커트),0.9183426,1.0,1.0,96,97,0.0
30,디핑고헤어(DEPINGO HAIR),미용료(파마),0.863326555,1.0,1.0,93,95,0.0
31,라브리지 헤어살롱 자양점,미용료(커트),0.77705871,1.0,1.0,89,92,0.0
32,라온헤어,미용료(커트),0.77705871,1.0,1.0,89,92,0.0
33,라인헤어,미용료(커트),0.869509835,1.0,1.0,93,95,0.0
34,러블리헤어,"미용료(커트),미용료(파마)",0.9044228245,1.0,1.0,95,97,0.0
35,리시오,미용료(커트),0.890725257,1.0,1.0,95,96,0.0
36,리오스포토스튜디오,사진촬영료,0.783061491,1.0,1.0,89,92,1.0
37,리우헤어,미용료(파마),0.918120392,1.0,1.0,96,97,0.0
38,리즈 헤어,미용료(파마),0.863326555,1.0,1.0,93,95,0.0
39,리히트 헤어샵,미용료(커트),0.869509835,1.0,1.0,93,95,0.0
40,마벨헤어,"미용료(커트),미용료(파마)",0.8588747320000001,1.0,1.0,93,95,0.0
41,마요헤어,미용료(파마),0.863326555,1.0,1.0,93,95,0.0
42,머리천국미용실,미용료(파마),0.897712946,1.0,1.0,95,96,1.0
43,머리하기 좋은 날,미용료(파마),0.786701574,1.0,1.0,89,92,0.0
44,명신미용실,"미용료(커트),미용료(파마)",0.9492514585,1.0,1.0,97,98,0.0
45,모짜르트헤어샵,"미용료(커트),미용료(파마)",0.9287557256666666,1.0,1.0,96,97,1.0
46,미나살롱,미용료(파마),0.863326555,1.0,1.0,93,95,0.0
47,미뇽헤어,미용료(커트),0.890725257,1.0,1.0,95,96,0.0
48,미도미용실,미용료(커트),0.890725257,1.0,1.0,95,96,1.0
49,미래미용실,미용료(커트),0.91734553,1.0,1.0,96,97,0.0
50,미로르,미용료(커트),0.933670769,1.0,1.0,97,98,0.0
51,미리내헤어,미용료(커트),0.91734553,1.0,1.0,96,97,0.0
52,미쉘,"미용료(커트),미용료(파마)",0.917732961,1.0,1.0,96,97,0.0
53,민서네 미용실,"미용료(커트),미용료(파마)",0.8664181950000001,1.0,1.0,93,95,0.0
54,민지헤어,미용료(커트),0.890725257,1.0,1.0,95,96,0.0
55,바람난 머리,미용료(커트),0.869509835,1.0,1.0,93,95,0.0
56,바바헤어,미용료(커트),0.890725257,1.0,1.0,95,96,0.0
57,박준뷰티랩,미용료(파마),0.8413307,1.0,1.0,92,94,0.0
58,방미헤어컬쳐,미용료(파마),0.918120392,1.0,1.0,96,97,1.0
59,봉 헤어,미용료(커트),0.836940071,1.0,1.0,92,94,0.0
60,블루클럽테크노마트점,미용료(커트),0.905880976,1.0,1.0,95,97,0.0
61,비취보석대중탕,목욕료,0.743359835,0.538323111,0.564798018,64,62,0.0
62,비하이드,미용료(파마),0.94178097,1.0,1.0,97,98,0.0
